what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055033671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055049178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055051026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055058257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055060181
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1493055061169
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1493055061249
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1493055081235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055082117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055105414
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493055111228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055128818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055130053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055148992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055149593
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1493055150938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055153925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055161898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055162343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055165813
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1493055166645
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1493055166730
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1493055167698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055169569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055274845
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493055275858
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1493055277262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055282254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1493055311963
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493055315570
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493055318534
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493055320749
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1493055320749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1493055322683
